user_id,name,email,signup_date,country,device,transaction_id,amount,payment_method,payment_status,transaction_time,event_id,event_type,event_time,product_id,product_name,category,price
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E3656,add_to_cart,2023-10-18,P1,"Free Plan",subscription,0
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E3219,click,2023-07-04,P10,"API Access",platform,18
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E3218,click,2023-11-13,P5,"Analytics Dashboard",feature,15
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E2049,view,2023-10-11,P5,"Analytics Dashboard",feature,15
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E2048,view,2023-12-20,P1,"Free Plan",subscription,0
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E3,login,2023-06-04,P9,"Mobile App",platform,0
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E2,login,2023-12-04,P1,"Free Plan",subscription,0
U1,"Karan Verma",user1@gmail.com,2023-04-22,uk,unknown,NULL,NULL,NULL,NULL,NULL,E1,login,2023-11-11,P4,"Enterprise Plan",subscription,60
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1367,12,"net banking",success,2023-10-01,E2512,view,2023-06-21,P5,"Analytics Dashboard",feature,15
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1367,12,"net banking",success,2023-10-01,E2511,view,2023-11-30,P10,"API Access",platform,18
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1367,12,"net banking",success,2023-10-01,E5,login,2023-09-03,P1,"Free Plan",subscription,0
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1367,12,"net banking",success,2023-10-01,E4,login,2023-01-16,P0,Unknown,unknown,0
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1279,0,"no payment",success,2023-08-02,E2512,view,2023-06-21,P5,"Analytics Dashboard",feature,15
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1279,0,"no payment",success,2023-08-02,E2511,view,2023-11-30,P10,"API Access",platform,18
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1279,0,"no payment",success,2023-08-02,E5,login,2023-09-03,P1,"Free Plan",subscription,0
U2,"Amit Sharma",user2@gmail.com,2023-10-28,germany,unknown,T1279,0,"no payment",success,2023-08-02,E4,login,2023-01-16,P0,Unknown,unknown,0
U3,"Neha Patel",user3@gmail.com,2023-11-16,us,unknown,NULL,NULL,NULL,NULL,NULL,E3684,add_to_cart,2023-03-22,P7,"CRM Tool",feature,20
U3,"Neha Patel",user3@gmail.com,2023-11-16,us,unknown,NULL,NULL,NULL,NULL,NULL,E3038,click,2023-01-22,P0,Unknown,unknown,0
U3,"Neha Patel",user3@gmail.com,2023-11-16,us,unknown,NULL,NULL,NULL,NULL,NULL,E2264,view,2023-08-30,P5,"Analytics Dashboard",feature,15
U3,"Neha Patel",user3@gmail.com,2023-11-16,us,unknown,NULL,NULL,NULL,NULL,NULL,E2263,view,2023-02-03,P9,"Mobile App",platform,0
U3,"Neha Patel",user3@gmail.com,2023-11-16,us,unknown,NULL,NULL,NULL,NULL,NULL,E7,login,2023-09-09,P2,"Basic Plan",subscription,10
U3,"Neha Patel",user3@gmail.com,2023-11-16,us,unknown,NULL,NULL,NULL,NULL,NULL,E6,login,2023-12-18,P7,"CRM Tool",feature,20
U4,"Priya Singh",user4@gmail.com,2023-11-03,germany,android,NULL,NULL,NULL,NULL,NULL,E3944,purchase,2023-05-31,P2,"Basic Plan",subscription,10
U4,"Priya Singh",user4@gmail.com,2023-11-03,germany,android,NULL,NULL,NULL,NULL,NULL,E3832,add_to_cart,2023-01-13,P5,"Analytics Dashboard",feature,15
U4,"Priya Singh",user4@gmail.com,2023-11-03,germany,android,NULL,NULL,NULL,NULL,NULL,E3187,click,2023-06-24,P9,"Mobile App",platform,0
